categoria,serie,tipo,fecha,valor,porcentaje
generacion,Generación total,Generación total,2023-01-05 23:00:00+00:00,621447.212,1.0
generacion,Ciclo combinado,Ciclo combinado,2023-01-05 23:00:00+00:00,93312.458,0.07507673716943153
generacion,Hidráulica,Hidráulica,2023-01-05 23:00:00+00:00,132905.961,0.10693262310427744
generacion,Carbón,Carbón,2023-01-05 23:00:00+00:00,6101.482,0.00490909113612694
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-05 23:00:00+00:00,55255.744,0.04445731104189103
generacion,Solar térmica,Solar térmica,2023-01-05 23:00:00+00:00,4585.892,0.0036896874838662883
generacion,Nuclear,Nuclear,2023-01-05 23:00:00+00:00,170650.133,0.13730058620007132
generacion,Residuos no renovables,Residuos no renovables,2023-01-05 23:00:00+00:00,3922.023,0.003155556034580778
generacion,Motores diésel,Motores diésel,2023-01-05 23:00:00+00:00,5914.544,0.004758685762677458
generacion,Eólica,Eólica,2023-01-05 23:00:00+00:00,85826.534,0.06905376059519597
generacion,Cogeneración,Cogeneración,2023-01-05 23:00:00+00:00,44097.339,0.035479553330106495
generacion,Turbina de gas,Turbina de gas,2023-01-05 23:00:00+00:00,1449.319,0.0011660837574085053
generacion,Hidráulica,Hidráulica,2023-01-06 23:00:00+00:00,76816.159,0.056198800703863065
generacion,Ciclo combinado,Ciclo combinado,2023-01-06 23:00:00+00:00,65633.512,0.04801756177866958
generacion,Eólica,Eólica,2023-01-06 23:00:00+00:00,306913.003,0.22453794766048024
generacion,Cogeneración,Cogeneración,2023-01-06 23:00:00+00:00,30507.633,0.022319423533186503
generacion,Hidroeólica,Hidroeólica,2023-01-06 23:00:00+00:00,8.771,6.4168748788075045e-06
generacion,Generación total,Generación total,2023-01-06 23:00:00+00:00,683432.369,1.0
generacion,Turbina de gas,Turbina de gas,2023-01-06 23:00:00+00:00,1681.186,0.0012299578394713113
generacion,Otras renovables,Otras renovables,2023-01-06 23:00:00+00:00,6766.571,0.004950432044871437
generacion,Residuos renovables,Residuos renovables,2023-01-06 23:00:00+00:00,2594.704,0.0018982887829827096
generacion,Residuos no renovables,Residuos no renovables,2023-01-06 23:00:00+00:00,3739.524,0.0027358405671300593
generacion,Nuclear,Nuclear,2023-01-06 23:00:00+00:00,136955.177,0.10019658360665092
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-06 23:00:00+00:00,36334.185,0.026582136468868364
generacion,Turbina de vapor,Turbina de vapor,2023-01-06 23:00:00+00:00,4071.908,0.0029790131289494136
generacion,Motores diésel,Motores diésel,2023-01-06 23:00:00+00:00,6026.736,0.004409167807502545
generacion,Solar térmica,Solar térmica,2023-01-06 23:00:00+00:00,873.13,0.0006387830307756465
generacion,Carbón,Carbón,2023-01-06 23:00:00+00:00,4510.17,0.0032996461717194436
generacion,Solar térmica,Solar térmica,2023-01-07 23:00:00+00:00,59.494,4.1539675508733914e-05
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-07 23:00:00+00:00,17719.34,0.012371930511125982
generacion,Ciclo combinado,Ciclo combinado,2023-01-07 23:00:00+00:00,59181.356,0.04132138239834038
generacion,Turbina de gas,Turbina de gas,2023-01-07 23:00:00+00:00,1797.784,0.0012552419402762243
generacion,Turbina de vapor,Turbina de vapor,2023-01-07 23:00:00+00:00,3652.894,0.0025505098233065695
